Belknap, Judd Gregg, Republican, 71
Carroll, Judd Gregg, Republican, 72
Cheshire, Judd Gregg, Republican, 61.1
Coös, Judd Gregg, Republican, 73.1
Grafton, Judd Gregg, Republican, 65.8
Hillsborough, Judd Gregg, Republican, 68.6
Merrimack, Judd Gregg, Republican, 68.6
Rockingham, Judd Gregg, Republican, 68.2
Strafford, Judd Gregg, Republican, 63.7
Sullivan, Judd Gregg, Republican, 66.9
