Fairfield, John G Rowland, Republican, 60.9
Hartford, John G Rowland, Republican, 53.1
Litchfield, John G Rowland, Republican, 66.3
Middlesex, John G Rowland, Republican, 54.8
New Haven, John G Rowland, Republican, 55.4
New London, John G Rowland, Republican, 51
Tolland, John G Rowland, Republican, 55.2
Windham, Bill Curry, Democrat, 54.1
