Belknap, Craig Benson, Republican, 67.8
Carroll, Craig Benson, Republican, 66.1
Cheshire, Mark Fernald, Democrat, 51.8
Coös, Craig Benson, Republican, 62.3
Grafton, Craig Benson, Republican, 54.3
Hillsborough, Craig Benson, Republican, 61.3
Merrimack, Craig Benson, Republican, 52.3
Rockingham, Craig Benson, Republican, 61.3
Strafford, Craig Benson, Republican, 55.9
Sullivan, Craig Benson, Republican, 53.3
