Belknap, Jeanne Shaheen, Democrat, 54.9
Carroll, Jeanne Shaheen, Democrat, 51.3
Cheshire, Jeanne Shaheen, Democrat, 62.2
Coös, Jeanne Shaheen, Democrat, 51.2
Grafton, Jeanne Shaheen, Democrat, 57.6
Hillsborough, Jeanne Shaheen, Democrat, 53.4
Merrimack, Jeanne Shaheen, Democrat, 63.2
Rockingham, Jeanne Shaheen, Democrat, 56.5
Strafford, Jeanne Shaheen, Democrat, 65.9
Sullivan, Jeanne Shaheen, Democrat, 57.6
