Belknap, Craig Benson, Republican, 55.1
Carroll, Craig Benson, Republican, 56.8
Cheshire, John Lynch, Democrat, 59.6
Coös, John Lynch, Democrat, 53.2
Grafton, John Lynch, Democrat, 54.5
Hillsborough, Craig Benson, Republican, 52.4
Merrimack, John Lynch, Democrat, 59.8
Rockingham, Craig Benson, Republican, 51.3
Strafford, John Lynch, Democrat, 54.8
Sullivan, John Lynch, Democrat, 53.3
