Newport, Richard M Nixon, Republican, 59.8
Washington, Richard M Nixon, Republican, 58.5
Kent, Richard M Nixon, Republican, 58.2
Bristol, Richard M Nixon, Republican, 54.6
Providence, Richard M Nixon, Republican, 49.94
