Fairfield, Richard M Nixon, Republican, 64
Hartford, Richard M Nixon, Republican, 52.1
Litchfield, Richard M Nixon, Republican, 60.2
Middlesex, Richard M Nixon, Republican, 57.9
New Haven, Richard M Nixon, Republican, 59
New London, Richard M Nixon, Republican, 63.4
Tolland, Richard M Nixon, Republican, 56.5
Windham, Richard M Nixon, Republican, 56
