Androscoggin, George McGovern, Democrat, 50.12
Aroostook, Richard M Nixon, Republican, 62.37
Cumberland, Richard M Nixon, Republican, 60.59
Franklin, Richard M Nixon, Republican, 66.5
Hancock, Richard M Nixon, Republican, 73.9
Kennebec, Richard M Nixon, Republican, 59.99
Knox, Richard M Nixon, Republican, 70.18
Lincoln, Richard M Nixon, Republican, 72.28
Oxford, Richard M Nixon, Republican, 64.36
Penobscot, Richard M Nixon, Republican, 61.92
Piscataquis, Richard M Nixon, Republican, 64.7
Sagadahoc, Richard M Nixon, Republican, 65.35
Somerset, Richard M Nixon, Republican, 62.97
Waldo, Richard M Nixon, Republican, 68.78
Washington, Richard M Nixon, Republican, 67.57
York, Richard M Nixon, Republican, 57.53
