Belknap, Richard M Nixon, Republican, 70.72
Carroll, Richard M Nixon, Republican, 77.01
Cheshire, Richard M Nixon, Republican, 58.98
Coös, Richard M Nixon, Republican, 60.84
Grafton, Richard M Nixon, Republican, 65.58
Hillsborough, Richard M Nixon, Republican, 64.39
Merrimack, Richard M Nixon, Republican, 67.7
Rockingham, Richard M Nixon, Republican, 63.09
Strafford, Richard M Nixon, Republican, 57.83
Sullivan, Richard M Nixon, Republican, 58.13
