Fairfield, Joe Lieberman, Democrat, 59.9
Hartford, Joe Lieberman, Democrat, 64.7
Litchfield, Joe Lieberman, Democrat, 57.3
Middlesex, Joe Lieberman, Democrat, 62.6
New Haven, Joe Lieberman, Democrat, 67.6
New London, Joe Lieberman, Democrat, 63.2
Tolland, Joe Lieberman, Democrat, 59.5
Windham, Joe Lieberman, Democrat, 62.2
