Bristol, Lincoln Chafee, Republican, 61.2
Kent, Lincoln Chafee, Republican, 62.5
Newport, Lincoln Chafee, Republican, 63.5
Providence, Lincoln Chafee, Republican, 52.3
Washington, Lincoln Chafee, Republican, 61.0
