#, Woodrow Wilson, Democrat, 0
Adair, Charles Evans Hughes, Republican, 2681
Andrew, Charles Evans Hughes, Republican, 2087
Atchison, Woodrow Wilson, Democrat, 1697
Audrain, Woodrow Wilson, Democrat, 3572
Barry, Woodrow Wilson, Democrat, 2752
Barton, Woodrow Wilson, Democrat, 2217
Bates, Woodrow Wilson, Democrat, 3255
Benton, Charles Evans Hughes, Republican, 1842
Bollinger, Charles Evans Hughes, Republican, 1624
Boone, Woodrow Wilson, Democrat, 5601
Buchanan, Woodrow Wilson, Democrat, 10973
Butler, Charles Evans Hughes, Republican, 2717
Caldwell, Charles Evans Hughes, Republican, 2069
Callaway, Woodrow Wilson, Democrat, 3882
Camden, Charles Evans Hughes, Republican, 1261
Cape Girardeau, Charles Evans Hughes, Republican, 3753
Carroll, Charles Evans Hughes, Republican, 2978
Carter, Woodrow Wilson, Democrat, 586
Cass, Woodrow Wilson, Democrat, 3337
Cedar, Charles Evans Hughes, Republican, 1874
Chariton, Woodrow Wilson, Democrat, 3135
Christian, Charles Evans Hughes, Republican, 1978
Clark, Charles Evans Hughes, Republican, 1782
Clay, Woodrow Wilson, Democrat, 3902
Clinton, Woodrow Wilson, Democrat, 2153
Cole, Woodrow Wilson, Democrat, 2915
Cooper, Charles Evans Hughes, Republican, 2830
Crawford, Charles Evans Hughes, Republican, 1642
Dade, Charles Evans Hughes, Republican, 1941
Dallas, Charles Evans Hughes, Republican, 1428
Daviess, Woodrow Wilson, Democrat, 2375
DeKalb, Woodrow Wilson, Democrat, 1647
Dent, Woodrow Wilson, Democrat, 1457
Douglas, Charles Evans Hughes, Republican, 1730
Dunklin, Woodrow Wilson, Democrat, 3723
Franklin, Charles Evans Hughes, Republican, 4325
Gasconade, Charles Evans Hughes, Republican, 2513
Gentry, Woodrow Wilson, Democrat, 2404
Greene, Charles Evans Hughes, Republican, 7543
Grundy, Charles Evans Hughes, Republican, 2481
Harrison, Charles Evans Hughes, Republican, 2741
Henry, Woodrow Wilson, Democrat, 3653
Hickory, Charles Evans Hughes, Republican, 1144
Holt, Charles Evans Hughes, Republican, 2030
Howard, Woodrow Wilson, Democrat, 2866
Howell, Charles Evans Hughes, Republican, 2132
Iron, Woodrow Wilson, Democrat, 1027
Jackson, Woodrow Wilson, Democrat, 44556
Jasper, Woodrow Wilson, Democrat, 10513
Jefferson, Charles Evans Hughes, Republican, 3310
Johnson, Woodrow Wilson, Democrat, 3701
Knox, Woodrow Wilson, Democrat, 1657
Laclede, Charles Evans Hughes, Republican, 1877
Lafayette, Woodrow Wilson, Democrat, 4073
Lawrence, Charles Evans Hughes, Republican, 3228
Lewis, Woodrow Wilson, Democrat, 2357
Lincoln, Woodrow Wilson, Democrat, 2468
Linn, Woodrow Wilson, Democrat, 3441
Livingston, Woodrow Wilson, Democrat, 2609
Macon, Woodrow Wilson, Democrat, 3805
Madison, Woodrow Wilson, Democrat, 1310
Maries, Woodrow Wilson, Democrat, 1319
Marion, Woodrow Wilson, Democrat, 4534
McDonald, Woodrow Wilson, Democrat, 1631
Mercer, Charles Evans Hughes, Republican, 1733
Miller, Charles Evans Hughes, Republican, 1862
Mississippi, Woodrow Wilson, Democrat, 1874
Moniteau, Charles Evans Hughes, Republican, 1748
Monroe, Woodrow Wilson, Democrat, 3738
Montgomery, Charles Evans Hughes, Republican, 2079
Morgan, Charles Evans Hughes, Republican, 1578
New Madrid, Woodrow Wilson, Democrat, 2715
Newton, Woodrow Wilson, Democrat, 3158
Nodaway, Woodrow Wilson, Democrat, 3874
Oregon, Woodrow Wilson, Democrat, 1799
Osage, Charles Evans Hughes, Republican, 1769
Ozark, Charles Evans Hughes, Republican, 1331
Pemiscot, Woodrow Wilson, Democrat, 2447
Perry, Charles Evans Hughes, Republican, 1988
Pettis, Woodrow Wilson, Democrat, 4665
Phelps, Woodrow Wilson, Democrat, 1887
Pike, Woodrow Wilson, Democrat, 3344
Platte, Woodrow Wilson, Democrat, 2974
Polk, Charles Evans Hughes, Republican, 2613
Pulaski, Woodrow Wilson, Democrat, 1339
Putnam, Charles Evans Hughes, Republican, 2106
Ralls, Woodrow Wilson, Democrat, 1994
Randolph, Woodrow Wilson, Democrat, 5081
Ray, Woodrow Wilson, Democrat, 3380
Reynolds, Woodrow Wilson, Democrat, 1209
Ripley, Woodrow Wilson, Democrat, 1325
Saint Charles, Charles Evans Hughes, Republican, 3518
Saint Clair, Woodrow Wilson, Democrat, 1881
Saint Francois, Woodrow Wilson, Democrat, 3675
Saint Louis County, Charles Evans Hughes, Republican, 12485
Saint Louis City, Charles Evans Hughes, Republican, 83798
Sainte Genevieve, Woodrow Wilson, Democrat, 1218
Saline, Woodrow Wilson, Democrat, 4503
Schuyler, Woodrow Wilson, Democrat, 1341
Scotland, Woodrow Wilson, Democrat, 1592
Scott, Woodrow Wilson, Democrat, 2816
Shannon, Woodrow Wilson, Democrat, 1213
Shelby, Woodrow Wilson, Democrat, 2549
Stoddard, Woodrow Wilson, Democrat, 3274
Stone, Charles Evans Hughes, Republican, 1525
Sullivan, Woodrow Wilson, Democrat, 2446
Taney, Charles Evans Hughes, Republican, 1123
Texas, Woodrow Wilson, Democrat, 2291
Vernon, Woodrow Wilson, Democrat, 3776
Warren, Charles Evans Hughes, Republican, 1752
Washington, Charles Evans Hughes, Republican, 1657
Wayne, Woodrow Wilson, Democrat, 1594
Webster, Charles Evans Hughes, Republican, 2114
Worth, Woodrow Wilson, Democrat, 1079
Wright, Charles Evans Hughes, Republican, 2176
