#, Woodrow Wilson, Democrat, 0
Adams, Woodrow Wilson, Democrat, 2887
Allen, Woodrow Wilson, Democrat, 7905
Ashland, Woodrow Wilson, Democrat, 4000
Ashtabula, Charles Evans Hughes, Republican, 6608
Athens, Charles Evans Hughes, Republican, 5554
Auglaize, Woodrow Wilson, Democrat, 4124
Belmont, Woodrow Wilson, Democrat, 7911
Brown, Woodrow Wilson, Democrat, 3959
Butler, Woodrow Wilson, Democrat, 10806
Carroll, Charles Evans Hughes, Republican, 2086
Champaign, Charles Evans Hughes, Republican, 3695
Clark, Woodrow Wilson, Democrat, 8848
Clermont, Woodrow Wilson, Democrat, 4247
Clinton, Charles Evans Hughes, Republican, 3520
Columbiana, Charles Evans Hughes, Republican, 8118
Coshocton, Woodrow Wilson, Democrat, 4269
Crawford, Woodrow Wilson, Democrat, 6014
Cuyahoga, Woodrow Wilson, Democrat, 71533
Darke, Woodrow Wilson, Democrat, 6186
Defiance, Woodrow Wilson, Democrat, 3359
Delaware, Woodrow Wilson, Democrat, 3754
Erie, Woodrow Wilson, Democrat, 5152
Fairfield, Woodrow Wilson, Democrat, 6172
Fayette, Charles Evans Hughes, Republican, 2772
Franklin, Woodrow Wilson, Democrat, 34103
Fulton, Charles Evans Hughes, Republican, 2933
Gallia, Charles Evans Hughes, Republican, 2860
Geauga, Charles Evans Hughes, Republican, 1806
Greene, Charles Evans Hughes, Republican, 4458
Guernsey, Woodrow Wilson, Democrat, 4312
Hamilton, Charles Evans Hughes, Republican, 64030
Hancock, Woodrow Wilson, Democrat, 5416
Hardin, Woodrow Wilson, Democrat, 4304
Harrison, Charles Evans Hughes, Republican, 2517
Henry, Woodrow Wilson, Democrat, 3252
Highland, Woodrow Wilson, Democrat, 3964
Hocking, Woodrow Wilson, Democrat, 2907
Holmes, Woodrow Wilson, Democrat, 2846
Huron, Woodrow Wilson, Democrat, 4136
Jackson, Charles Evans Hughes, Republican, 3116
Jefferson, Charles Evans Hughes, Republican, 6658
Knox, Woodrow Wilson, Democrat, 4578
Lake, Charles Evans Hughes, Republican, 2887
Lawrence, Charles Evans Hughes, Republican, 4363
Licking, Woodrow Wilson, Democrat, 8183
Logan, Charles Evans Hughes, Republican, 4345
Lorain, Woodrow Wilson, Democrat, 7658
Lucas, Woodrow Wilson, Democrat, 30779
Madison, Charles Evans Hughes, Republican, 2809
Mahoning, Woodrow Wilson, Democrat, 13013
Marion, Woodrow Wilson, Democrat, 5273
Medina, Woodrow Wilson, Democrat, 2984
Meigs, Charles Evans Hughes, Republican, 3184
Mercer, Woodrow Wilson, Democrat, 3803
Miami, Charles Evans Hughes, Republican, 5772
Monroe, Woodrow Wilson, Democrat, 3322
Montgomery, Woodrow Wilson, Democrat, 24339
Morgan, Charles Evans Hughes, Republican, 2136
Morrow, Woodrow Wilson, Democrat, 2345
Muskingum, Charles Evans Hughes, Republican, 7597
Noble, Charles Evans Hughes, Republican, 2290
Ottawa, Woodrow Wilson, Democrat, 3347
Paulding, Charles Evans Hughes, Republican, 2647
Perry, Charles Evans Hughes, Republican, 3953
Pickaway, Woodrow Wilson, Democrat, 3820
Pike, Woodrow Wilson, Democrat, 2091
Portage, Woodrow Wilson, Democrat, 4269
Preble, Woodrow Wilson, Democrat, 3387
Putnam, Woodrow Wilson, Democrat, 4294
Richland, Woodrow Wilson, Democrat, 6985
Ross, Woodrow Wilson, Democrat, 5154
Sandusky, Woodrow Wilson, Democrat, 5264
Scioto, Charles Evans Hughes, Republican, 6356
Seneca, Woodrow Wilson, Democrat, 6451
Shelby, Woodrow Wilson, Democrat, 3801
Stark, Woodrow Wilson, Democrat, 15316
Summit, Woodrow Wilson, Democrat, 19343
Trumbull, Charles Evans Hughes, Republican, 6167
Tuscarawas, Woodrow Wilson, Democrat, 7608
Union, Charles Evans Hughes, Republican, 3182
Van Wert, Charles Evans Hughes, Republican, 3802
Vinton, Woodrow Wilson, Democrat, 1433
Warren, Charles Evans Hughes, Republican, 3610
Washington, Woodrow Wilson, Democrat, 5267
Wayne, Woodrow Wilson, Democrat, 5930
Williams, Woodrow Wilson, Democrat, 3552
Wood, Woodrow Wilson, Democrat, 5796
Wyandot, Woodrow Wilson, Democrat, 3250
