0, Woodrow Wilson, Democrat, 0
Roosevelt, Woodrow Wilson, Democrat, 1088
Eddy, Woodrow Wilson, Democrat, 1402
Curry, Woodrow Wilson, Democrat, 1175
Chaves, Woodrow Wilson, Democrat, 2275
Quay, Woodrow Wilson, Democrat, 1539
Luna, Woodrow Wilson, Democrat, 796
San Juan, Woodrow Wilson, Democrat, 637
Otero, Woodrow Wilson, Democrat, 824
Union, Woodrow Wilson, Democrat, 1996
Grant, Woodrow Wilson, Democrat, 2305
Sandoval, Woodrow Wilson, Democrat, 734
Guadalupe, Woodrow Wilson, Democrat, 1172
Colfax, Woodrow Wilson, Democrat, 2006
Sierra, Woodrow Wilson, Democrat, 493
Lincoln, Charles Evans Hughes, Republican, 889
Mora, Charles Evans Hughes, Republican, 1590
Bernalillo, Charles Evans Hughes, Republican, 2711
McKinley, Charles Evans Hughes, Republican, 669
Socorro, Charles Evans Hughes, Republican, 1954
Santa Fe, Charles Evans Hughes, Republican, 1830
Rio Arriba, Charles Evans Hughes, Republican, 1992
San Miguel, Charles Evans Hughes, Republican, 2932
Torrance, Charles Evans Hughes, Republican, 948
Taos, Charles Evans Hughes, Republican, 1320
Doña Ana, Charles Evans Hughes, Republican, 1606
Valencia, Charles Evans Hughes, Republican, 1540
