#, Woodrow Wilson, Democrat, 0
Beaverhead, Woodrow Wilson, Democrat, 1463
Big Horn, Woodrow Wilson, Democrat, 740
Blaine, Woodrow Wilson, Democrat, 1261
Broadwater, Woodrow Wilson, Democrat, 1100
Carbon, Woodrow Wilson, Democrat, 1926
Cascade, Woodrow Wilson, Democrat, 6612
Chouteau, Woodrow Wilson, Democrat, 2738
Custer, Woodrow Wilson, Democrat, 2602
Dawson, Woodrow Wilson, Democrat, 2835
Deer Lodge, Woodrow Wilson, Democrat, 4171
Fallon, Woodrow Wilson, Democrat, 1845
Fergus, Woodrow Wilson, Democrat, 5749
Flathead, Woodrow Wilson, Democrat, 2978
Gallatin, Woodrow Wilson, Democrat, 3661
Granite, Woodrow Wilson, Democrat, 812
Hill, Woodrow Wilson, Democrat, 3241
Jefferson, Woodrow Wilson, Democrat, 1124
Lewis and Clark, Woodrow Wilson, Democrat, 4337
Lincoln, Woodrow Wilson, Democrat, 1186
Madison, Woodrow Wilson, Democrat, 1672
Meagher, Woodrow Wilson, Democrat, 1482
Mineral, Woodrow Wilson, Democrat, 781
Missoula, Woodrow Wilson, Democrat, 4069
Musselshell, Woodrow Wilson, Democrat, 2036
Park, Woodrow Wilson, Democrat, 2050
Phillips, Woodrow Wilson, Democrat, 1252
Powell, Woodrow Wilson, Democrat, 1340
Prairie, Woodrow Wilson, Democrat, 622
Ravalli, Woodrow Wilson, Democrat, 1967
Richland, Woodrow Wilson, Democrat, 1947
Rosebud, Woodrow Wilson, Democrat, 1608
Sanders, Woodrow Wilson, Democrat, 1178
Sheridan, Woodrow Wilson, Democrat, 3264
Silver Bow, Woodrow Wilson, Democrat, 13084
Stillwater, Woodrow Wilson, Democrat, 1197
Sweet Grass, Charles Evans Hughes, Republican, 890
Teton, Woodrow Wilson, Democrat, 2273
Toole, Woodrow Wilson, Democrat, 1075
Valley, Woodrow Wilson, Democrat, 2102
Wibaux, Woodrow Wilson, Democrat, 585
Yellowstone, Woodrow Wilson, Democrat, 4259
