Belknap, Charles Evans Hughes, Republican, 51.57
Carroll, Charles Evans Hughes, Republican, 52.61
Cheshire, Charles Evans Hughes, Republican, 53.44
Coös, Woodrow Wilson, Democrat, 51.99
Grafton, Charles Evans Hughes, Republican, 50.38
Hillsborough, Woodrow Wilson, Democrat, 51.05
Merrimack, Charles Evans Hughes, Republican, 49.16
Rockingham, Charles Evans Hughes, Republican, 50.29
Strafford, Woodrow Wilson, Democrat, 49.62
Sullivan, Woodrow Wilson, Democrat, 49.82
