#, Woodrow Wilson, Democrat, 0
Adair, Charles Evans Hughes, Republican, 1863
Allen, Charles Evans Hughes, Republican, 2147
Anderson, Woodrow Wilson, Democrat, 1521
Ballard, Woodrow Wilson, Democrat, 2222
Barren, Woodrow Wilson, Democrat, 3370
Bath, Woodrow Wilson, Democrat, 1796
Bell, Charles Evans Hughes, Republican, 3321
Boone, Woodrow Wilson, Democrat, 2008
Bourbon, Woodrow Wilson, Democrat, 2715
Boyd, Charles Evans Hughes, Republican, 2883
Boyle, Woodrow Wilson, Democrat, 2052
Bracken, Woodrow Wilson, Democrat, 1676
Breathitt, Woodrow Wilson, Democrat, 2067
Breckinridge, Charles Evans Hughes, Republican, 2549
Bullitt, Woodrow Wilson, Democrat, 1508
Butler, Charles Evans Hughes, Republican, 2456
Caldwell, Charles Evans Hughes, Republican, 1672
Calloway, Woodrow Wilson, Democrat, 3334
Campbell, Woodrow Wilson, Democrat, 7290
Carlisle, Woodrow Wilson, Democrat, 1646
Carroll, Woodrow Wilson, Democrat, 1757
Carter, Charles Evans Hughes, Republican, 2818
Casey, Charles Evans Hughes, Republican, 1949
Christian, Charles Evans Hughes, Republican, 4594
Clark, Woodrow Wilson, Democrat, 2620
Clay, Charles Evans Hughes, Republican, 2271
Clinton, Charles Evans Hughes, Republican, 1260
Crittenden, Charles Evans Hughes, Republican, 1794
Cumberland, Charles Evans Hughes, Republican, 1394
Daviess, Woodrow Wilson, Democrat, 5396
Edmonson, Charles Evans Hughes, Republican, 1339
Elliott, Woodrow Wilson, Democrat, 1151
Estill, Charles Evans Hughes, Republican, 1524
Fayette, Woodrow Wilson, Democrat, 6348
Fleming, Woodrow Wilson, Democrat, 2240
Floyd, Woodrow Wilson, Democrat, 2217
Franklin, Woodrow Wilson, Democrat, 3345
Fulton, Woodrow Wilson, Democrat, 2200
Gallatin, Woodrow Wilson, Democrat, 1060
Garrard, Charles Evans Hughes, Republican, 1628
Grant, Woodrow Wilson, Democrat, 1841
Graves, Woodrow Wilson, Democrat, 5197
Grayson, Charles Evans Hughes, Republican, 2368
Green, Charles Evans Hughes, Republican, 1412
Greenup, Charles Evans Hughes, Republican, 1821
Hancock, Charles Evans Hughes, Republican, 918
Hardin, Woodrow Wilson, Democrat, 3272
Harlan, Charles Evans Hughes, Republican, 2670
Harrison, Woodrow Wilson, Democrat, 2778
Hart, Woodrow Wilson, Democrat, 2048
Henderson, Woodrow Wilson, Democrat, 3699
Henry, Woodrow Wilson, Democrat, 2595
Hickman, Woodrow Wilson, Democrat, 1982
Hopkins, Woodrow Wilson, Democrat, 3757
Jackson, Charles Evans Hughes, Republican, 1968
Jefferson, Woodrow Wilson, Democrat, 28840
Jessamine, Woodrow Wilson, Democrat, 1727
Johnson, Charles Evans Hughes, Republican, 2500
Kenton, Woodrow Wilson, Democrat, 10402
Knott, Woodrow Wilson, Democrat, 1454
Knox, Charles Evans Hughes, Republican, 3192
Larue, Woodrow Wilson, Democrat, 1350
Laurel, Charles Evans Hughes, Republican, 2383
Lawrence, Charles Evans Hughes, Republican, 1928
Lee, Charles Evans Hughes, Republican, 1135
Leslie, Charles Evans Hughes, Republican, 1516
Letcher, Charles Evans Hughes, Republican, 2220
Lewis, Charles Evans Hughes, Republican, 2324
Lincoln, Woodrow Wilson, Democrat, 2212
Livingston, Woodrow Wilson, Democrat, 1287
Logan, Woodrow Wilson, Democrat, 3373
Lyon, Woodrow Wilson, Democrat, 1191
Madison, Woodrow Wilson, Democrat, 3295
Magoffin, Charles Evans Hughes, Republican, 1535
Marion, Woodrow Wilson, Democrat, 2063
Marshall, Woodrow Wilson, Democrat, 2263
Martin, Charles Evans Hughes, Republican, 1100
Mason, Woodrow Wilson, Democrat, 2820
McCracken, Woodrow Wilson, Democrat, 4356
McCreary, Charles Evans Hughes, Republican, 1630
McLean, Woodrow Wilson, Democrat, 1589
Meade, Woodrow Wilson, Democrat, 1317
Menifee, Woodrow Wilson, Democrat, 730
Mercer, Woodrow Wilson, Democrat, 2093
Metcalfe, Charles Evans Hughes, Republican, 1107
Monroe, Charles Evans Hughes, Republican, 2008
Montgomery, Woodrow Wilson, Democrat, 1705
Morgan, Woodrow Wilson, Democrat, 2319
Muhlenberg, Charles Evans Hughes, Republican, 3533
Nelson, Woodrow Wilson, Democrat, 2639
Nicholas, Woodrow Wilson, Democrat, 1829
Ohio, Charles Evans Hughes, Republican, 3286
Oldham, Woodrow Wilson, Democrat, 1455
Owen, Woodrow Wilson, Democrat, 2911
Owsley, Charles Evans Hughes, Republican, 1173
Pendleton, Woodrow Wilson, Democrat, 1728
Perry, Charles Evans Hughes, Republican, 2217
Pike, Charles Evans Hughes, Republican, 4212
Powell, Woodrow Wilson, Democrat, 757
Pulaski, Charles Evans Hughes, Republican, 4136
Robertson, Woodrow Wilson, Democrat, 663
Rockcastle, Charles Evans Hughes, Republican, 1932
Rowan, Charles Evans Hughes, Republican, 941
Russell, Charles Evans Hughes, Republican, 1298
Scott, Woodrow Wilson, Democrat, 2611
Shelby, Woodrow Wilson, Democrat, 2919
Simpson, Woodrow Wilson, Democrat, 1887
Spencer, Woodrow Wilson, Democrat, 1271
Taylor, Woodrow Wilson, Democrat, 1360
Todd, Woodrow Wilson, Democrat, 2051
Trigg, Woodrow Wilson, Democrat, 1722
Trimble, Woodrow Wilson, Democrat, 1319
Union, Woodrow Wilson, Democrat, 2754
Warren, Woodrow Wilson, Democrat, 4228
Washington, Woodrow Wilson, Democrat, 1654
Wayne, Charles Evans Hughes, Republican, 1638
Webster, Woodrow Wilson, Democrat, 2673
Whitley, Charles Evans Hughes, Republican, 3919
Wolfe, Woodrow Wilson, Democrat, 1108
Woodford, Woodrow Wilson, Democrat, 1786
