Belknap, Barack Obama, Democrat, 49.97
Carroll, Barack Obama, Democrat, 52.39
Cheshire, Barack Obama, Democrat, 62.98
Coös, Barack Obama, Democrat, 58.31
Grafton, Barack Obama, Democrat, 63.03
Hillsborough, Barack Obama, Democrat, 51.2
Merrimack, Barack Obama, Democrat, 56.27
Rockingham, Barack Obama, Democrat, 49.89
Strafford, Barack Obama, Democrat, 59.5
Sullivan, Barack Obama, Democrat, 58.23
