Abbeville, John McCain, Republican, 56.94
Aiken, John McCain, Republican, 61.41
Allendale, Barack Obama, Democrat, 75.27
Anderson, John McCain, Republican, 65.99
Bamberg, Barack Obama, Democrat, 64.95
Barnwell, Barack Obama, Democrat, 50.33
Beaufort, John McCain, Republican, 54.92
Berkeley, John McCain, Republican, 55.89
Calhoun, Barack Obama, Democrat, 51.31
Charleston, Barack Obama, Democrat, 53.55
Cherokee, John McCain, Republican, 64.07
Chester, Barack Obama, Democrat, 53.49
Chesterfield, John McCain, Republican, 50.89
Clarendon, Barack Obama, Democrat, 55.77
Colleton, Barack Obama, Democrat, 49.74
Darlington, John McCain, Republican, 49.58
Dillon, Barack Obama, Democrat, 55.21
Dorchester, John McCain, Republican, 57.11
Edgefield, John McCain, Republican, 54.98
Fairfield, Barack Obama, Democrat, 65.33
Florence, John McCain, Republican, 51.16
Georgetown, John McCain, Republican, 52.13
Greenville, John McCain, Republican, 61.03
Greenwood, John McCain, Republican, 57.29
Hampton, Barack Obama, Democrat, 62.2
Horry, John McCain, Republican, 61.65
Jasper, Barack Obama, Democrat, 60.87
Kershaw, John McCain, Republican, 58.84
Lancaster, John McCain, Republican, 56.85
Laurens, John McCain, Republican, 58.34
Lee, Barack Obama, Democrat, 65.12
Lexington, John McCain, Republican, 68.45
McCormick, Barack Obama, Democrat, 52.66
Marion, Barack Obama, Democrat, 63.32
Marlboro, Barack Obama, Democrat, 62.47
Newberry, John McCain, Republican, 58.19
Oconee, John McCain, Republican, 67.98
Orangeburg, Barack Obama, Democrat, 68.58
Pickens, John McCain, Republican, 72.13
Richland, Barack Obama, Democrat, 64.02
Saluda, John McCain, Republican, 60.34
Spartanburg, John McCain, Republican, 60.04
Sumter, Barack Obama, Democrat, 57.33
Union, John McCain, Republican, 54.97
Williamsburg, Barack Obama, Democrat, 68.59
York, John McCain, Republican, 58.17
