Fairfield, Richard Blumenthal, Democrat, 61.4
Hartford, Richard Blumenthal, Democrat, 66.9
Litchfield, Richard Blumenthal, Democrat, 52.2
Middlesex, Richard Blumenthal, Democrat, 62.1
New Haven, Richard Blumenthal, Democrat, 65.4
New London, Richard Blumenthal, Democrat, 63.3
Tolland, Richard Blumenthal, Democrat, 60.4
Windham, Richard Blumenthal, Democrat, 58.8
