Belknap, Kelly Ayotte, Republican, 53.7
Carroll, Kelly Ayotte, Republican, 50.6
Cheshire, Maggie Hassan, Democrat, 55
Coös, Kelly Ayotte, Republican, 48.7
Grafton, Maggie Hassan, Democrat, 55.3
Hillsborough, Kelly Ayotte, Republican, 49.4
Merrimack, Maggie Hassan, Democrat, 49.9
Rockingham, Kelly Ayotte, Republican, 50.7
Strafford, Maggie Hassan, Democrat, 52.6
Sullivan, Maggie Hassan, Democrat, 47.6
