Fairfield, Daniel Malloy, Democrat, 49.7
Hartford, Daniel Malloy, Democrat, 53.5
Litchfield, Thomas C Foley, Republican, 59.2
Middlesex, Daniel Malloy, Democrat, 49.5
New Haven, Daniel Malloy, Democrat, 53.4
New London, Daniel Malloy, Democrat, 51.3
Tolland, Thomas C Foley, Republican, 52.6
Windham, Thomas C Foley, Republican, 50.1
