Bristol, Gina Raimondo, Democrat, 39.9
Kent, Allan Fung, Republican, 39
Newport, Gina Raimondo, Democrat, 43.7
Providence, Gina Raimondo, Democrat, 43.2
Washington, Gina Raimondo, Democrat, 38.5
