Belknap, Walt Havenstein, Republican, 53.1
Carroll, Maggie Hassan, Democrat, 50
Cheshire, Maggie Hassan, Democrat, 60.6
Coös, Maggie Hassan, Democrat, 60.7
Grafton, Maggie Hassan, Democrat, 60.9
Hillsborough, Walt Havenstein, Republican, 50.8
Merrimack, Maggie Hassan, Democrat, 56.7
Rockingham, Walt Havenstein, Republican, 51.1
Strafford, Maggie Hassan, Democrat, 57
Sullivan, Maggie Hassan, Democrat, 55.6
