Fairfield, Jodi Rell, Republican, 68.7
Hartford, Jodi Rell, Republican, 58.2
Litchfield, Jodi Rell, Republican, 69.8
Middlesex, Jodi Rell, Republican, 61.5
New Haven, Jodi Rell, Republican, 62.4
New London, Jodi Rell, Republican, 62.3
Tolland, Jodi Rell, Republican, 62.6
Windham, Jodi Rell, Republican, 60.4
