Providence, Charles J Fogarty, Democrat, 54.8
Bristol, Donald Carcieri, Republican, 58
Kent, Donald Carcieri, Republican, 55.4
Newport, Donald Carcieri, Republican, 59.9
Washington, Donald Carcieri, Republican, 58.6
