Belknap, John Lynch, Democrat, 75.3
Carroll, John Lynch, Democrat, 71.9
Cheshire, John Lynch, Democrat, 79.3
Coös, John Lynch, Democrat, 77.7
Grafton, John Lynch, Democrat, 77.2
Hillsborough, John Lynch, Democrat, 71.3
Merrimack, John Lynch, Democrat, 79
Rockingham, John Lynch, Democrat, 69.3
Strafford, John Lynch, Democrat, 79.9
Sullivan, John Lynch, Democrat, 75.9
