Belknap, Bob Smith, Republican, 54.7
Carroll, Bob Smith, Republican, 54.5
Cheshire, Richard Swett, Democrat, 52.3
Coös, Richard Swett, Democrat, 49.9
Grafton, Bob Smith, Republican, 48.2
Hillsborough, Bob Smith, Republican, 51.6
Merrimack, Richard Swett, Democrat, 48.9
Rockingham, Bob Smith, Republican, 50.1
Strafford, Richard Swett, Democrat, 51.4
Sullivan, Bob Smith, Republican, 49.7
