Bristol, Jack Reed, Democrat, 55.5
Kent, Jack Reed, Democrat, 61.7
Newport, Jack Reed, Democrat, 55.7
Providence, Jack Reed, Democrat, 67.2
Washington, Jack Reed, Democrat, 59.2
