Androscoggin, Joseph E Brennan, Democrat, 48.3
Aroostook, Susan Collins, Republican, 55.4
Cumberland, Joseph E Brennan, Democrat, 47
Franklin, Susan Collins, Republican, 47.9
Hancock, Susan Collins, Republican, 55.4
Kennebec, Joseph E Brennan, Democrat, 47.9
Knox, Susan Collins, Republican, 51
Lincoln, Susan Collins, Republican, 53.2
Oxford, Susan Collins, Republican, 47.7
Penobscot, Susan Collins, Republican, 55.1
Piscataquis, Susan Collins, Republican, 56.3
Sagadahoc, Susan Collins, Republican, 48.5
Somerset, Susan Collins, Republican, 46.8
Waldo, Susan Collins, Republican, 53.5
Washington, Susan Collins, Republican, 53.8
York, Susan Collins, Republican, 47.9
