Belknap, Wendell Willkie, Republican, 51.96
Carroll, Wendell Willkie, Republican, 66.34
Cheshire, Wendell Willkie, Republican, 54.55
Coös, Franklin D Roosevelt, Democrat, 60.3
Grafton, Wendell Willkie, Republican, 54.04
Hillsborough, Franklin D Roosevelt, Democrat, 61.91
Merrimack, Wendell Willkie, Republican, 50.39
Rockingham, Wendell Willkie, Republican, 53.68
Strafford, Franklin D Roosevelt, Democrat, 58.82
Sullivan, Franklin D Roosevelt, Democrat, 51.26
