Fairfield, Franklin D Roosevelt, Democrat, 50.4
Hartford, Franklin D Roosevelt, Democrat, 56.3
Litchfield, Wendell Willkie, Republican, 53.9
Middlesex, Wendell Willkie, Republican, 50.6
New Haven, Franklin D Roosevelt, Democrat, 54.9
New London, Franklin D Roosevelt, Democrat, 54.6
Tolland, Franklin D Roosevelt, Democrat, 50.5
Windham, Franklin D Roosevelt, Democrat, 55.3
