Fairfield, Chris Murphy, Democrat, 61.8
Hartford, Chris Murphy, Democrat, 62.5
Litchfield, Matthew Corey, Republican, 51.7
Middlesex, Chris Murphy, Democrat, 57.1
New Haven, Chris Murphy, Democrat, 59.4
New London, Chris Murphy, Democrat, 59.3
Tolland, Chris Murphy, Democrat, 55.9
Windham, Chris Murphy, Democrat, 52.8
