Bristol, Sheldon Whitehouse, Democrat, 63.3
Kent, Sheldon Whitehouse, Democrat, 54.3
Newport, Sheldon Whitehouse, Democrat, 63.6
Providence, Sheldon Whitehouse, Democrat, 64.1
Washington, Sheldon Whitehouse, Democrat, 58.7
