Fairfield, John G Rowland, Republican, 51.3
Hartford, Bill Curry, Democrat, 34.8
Litchfield, John G Rowland, Republican, 40.2
Middlesex, Bill Curry, Democrat, 31.6
New Haven, John G Rowland, Republican, 41.4
New London, Eunice Groark, A Connecticut Party, 31.5
Tolland, Bill Curry, Democrat, 33.9
Windham, Bill Curry, Democrat, 35.9
