Belknap, Steve Merrill, Republican, 73.5
Carroll, Steve Merrill, Republican, 74.8
Cheshire, Steve Merrill, Republican, 64.2
Coös, Steve Merrill, Republican, 70.8
Grafton, Steve Merrill, Republican, 66.1
Hillsborough, Steve Merrill, Republican, 73.5
Merrimack, Steve Merrill, Republican, 64.3
Rockingham, Steve Merrill, Republican, 72.2
Strafford, Steve Merrill, Republican, 65.8
Sullivan, Steve Merrill, Republican, 66.1
