Fairfield, Herbert Hoover, Republican, 49.9
Hartford, Herbert Hoover, Republican, 48.4
Litchfield, Herbert Hoover, Republican, 56.9
Middlesex, Herbert Hoover, Republican, 52.8
New Haven, Franklin D Roosevelt, Democrat, 49.9
New London, Herbert Hoover, Republican, 49.1
Tolland, Herbert Hoover, Republican, 51.8
Windham, Franklin D Roosevelt, Democrat, 52.6
