Bristol, Franklin D Roosevelt, Democrat, 54.9
Kent, Herbert Hoover, Republican, 50.9
Newport, Herbert Hoover, Republican, 51.9
Providence, Franklin D Roosevelt, Democrat, 57.4
Washington, Herbert Hoover, Republican, 58.4
