Bristol, Warren G Harding, Republican, 68.8
Kent, Warren G Harding, Republican, 69.98
Newport, Warren G Harding, Republican, 76.72
Providence, Warren G Harding, Republican, 61.3
Washington, Warren G Harding, Republican, 74.93
