Belknap, Warren G Harding, Republican, 61.74
Carroll, Warren G Harding, Republican, 64.73
Cheshire, Warren G Harding, Republican, 65.83
Coös, Warren G Harding, Republican, 54.45
Grafton, Warren G Harding, Republican, 61.1
Hillsborough, Warren G Harding, Republican, 54.44
Merrimack, Warren G Harding, Republican, 58.28
Rockingham, Warren G Harding, Republican, 67.29
Strafford, Warren G Harding, Republican, 60.37
Sullivan, Warren G Harding, Republican, 64.35
