Fairfield, Dwight D Eisenhower, Republican, 70.2
Hartford, Dwight D Eisenhower, Republican, 58.1
Litchfield, Dwight D Eisenhower, Republican, 69.9
Middlesex, Dwight D Eisenhower, Republican, 64.8
New Haven, Dwight D Eisenhower, Republican, 63
New London, Dwight D Eisenhower, Republican, 61.4
Tolland, Dwight D Eisenhower, Republican, 63.5
Windham, Dwight D Eisenhower, Republican, 59.6
