Adams, Dwight D Eisenhower, Republican, 40.64
Alcorn, Adlai Stevenson, Democrat, 77.19
Amite, Adlai Stevenson, Democrat, 46.74
Attala, Adlai Stevenson, Democrat, 67.46
Benton, Adlai Stevenson, Democrat, 83.26
Bolivar, Other, Dixiecrat, 45.03
Calhoun, Adlai Stevenson, Democrat, 79.52
Carroll, Adlai Stevenson, Democrat, 69.63
Chickasaw, Adlai Stevenson, Democrat, 80.25
Choctaw, Adlai Stevenson, Democrat, 79.56
Claiborne, Adlai Stevenson, Democrat, 41.24
Clarke, Adlai Stevenson, Democrat, 73.24
Clay, Adlai Stevenson, Democrat, 54.52
Coahoma, Adlai Stevenson, Democrat, 50.83
Copiah, Adlai Stevenson, Democrat, 55.12
Covington, Adlai Stevenson, Democrat, 67.38
DeSoto, Adlai Stevenson, Democrat, 66.96
Forrest, Dwight D Eisenhower, Republican, 37.52
Franklin, Adlai Stevenson, Democrat, 55.83
George, Adlai Stevenson, Democrat, 69.24
Greene, Adlai Stevenson, Democrat, 59.72
Grenada, Adlai Stevenson, Democrat, 43.37
Hancock, Dwight D Eisenhower, Republican, 53.14
Harrison, Adlai Stevenson, Democrat, 50.37
Hinds, Adlai Stevenson, Democrat, 35.03
Holmes, Other, Dixiecrat, 49.18
Humphreys, Other, Dixiecrat, 45.67
Issaquena, Adlai Stevenson, Democrat, 59.52
Itawamba, Adlai Stevenson, Democrat, 86.68
Jackson, Adlai Stevenson, Democrat, 56.21
Jasper, Adlai Stevenson, Democrat, 80.08
Jefferson, Adlai Stevenson, Democrat, 45.74
Jefferson Davis, Adlai Stevenson, Democrat, 73.41
Jones, Adlai Stevenson, Democrat, 62.17
Kemper, Adlai Stevenson, Democrat, 87
Lafayette, Adlai Stevenson, Democrat, 72.86
Lamar, Adlai Stevenson, Democrat, 46.86
Lauderdale, Adlai Stevenson, Democrat, 59.32
Lawrence, Adlai Stevenson, Democrat, 67.48
Leake, Adlai Stevenson, Democrat, 82.53
Lee, Adlai Stevenson, Democrat, 75.3
Leflore, Adlai Stevenson, Democrat, 49.3
Lincoln, Adlai Stevenson, Democrat, 51.47
Lowndes, Adlai Stevenson, Democrat, 55.94
Madison, Other, Dixiecrat, 42.67
Marion, Adlai Stevenson, Democrat, 57.75
Marshall, Adlai Stevenson, Democrat, 70.37
Monroe, Adlai Stevenson, Democrat, 78.5
Montgomery, Adlai Stevenson, Democrat, 63.74
Neshoba, Adlai Stevenson, Democrat, 77.9
Newton, Adlai Stevenson, Democrat, 75.46
Noxubee, Adlai Stevenson, Democrat, 52.27
Oktibbeha, Adlai Stevenson, Democrat, 58.79
Panola, Adlai Stevenson, Democrat, 66.17
Pearl River, Adlai Stevenson, Democrat, 44.73
Perry, Adlai Stevenson, Democrat, 52.82
Pike, Adlai Stevenson, Democrat, 41.74
Pontotoc, Adlai Stevenson, Democrat, 82.5
Prentiss, Adlai Stevenson, Democrat, 80.95
Quitman, Adlai Stevenson, Democrat, 63.64
Rankin, Adlai Stevenson, Democrat, 49.76
Scott, Adlai Stevenson, Democrat, 65.5
Sharkey, Other, Dixiecrat, 37.62
Simpson, Adlai Stevenson, Democrat, 67.11
Smith, Adlai Stevenson, Democrat, 80.81
Stone, Adlai Stevenson, Democrat, 65.15
Sunflower, Adlai Stevenson, Democrat, 50.8
Tallahatchie, Adlai Stevenson, Democrat, 73.28
Tate, Adlai Stevenson, Democrat, 80.85
Tippah, Adlai Stevenson, Democrat, 86.94
Tishomingo, Adlai Stevenson, Democrat, 72.67
Tunica, Adlai Stevenson, Democrat, 56.22
Union, Adlai Stevenson, Democrat, 82.48
Walthall, Adlai Stevenson, Democrat, 66.26
Warren, Dwight D Eisenhower, Republican, 45.4
Washington, Adlai Stevenson, Democrat, 49.58
Wayne, Adlai Stevenson, Democrat, 70.13
Webster, Adlai Stevenson, Democrat, 80.92
Wilkinson, Other, Dixiecrat, 41.25
Winston, Adlai Stevenson, Democrat, 78.82
Yalobusha, Adlai Stevenson, Democrat, 59.85
Yazoo, Other, Dixiecrat, 58.52
