Belknap, Dwight D Eisenhower, Republican, 75.95
Carroll, Dwight D Eisenhower, Republican, 85.38
Cheshire, Dwight D Eisenhower, Republican, 69.26
Coös, Dwight D Eisenhower, Republican, 66.13
Grafton, Dwight D Eisenhower, Republican, 74.04
Hillsborough, Dwight D Eisenhower, Republican, 55.5
Merrimack, Dwight D Eisenhower, Republican, 71.68
Rockingham, Dwight D Eisenhower, Republican, 73.42
Strafford, Dwight D Eisenhower, Republican, 61.58
Sullivan, Dwight D Eisenhower, Republican, 66.44
