Bristol, Dwight D Eisenhower, Republican, 59.9
Kent, Dwight D Eisenhower, Republican, 65.9
Newport, Dwight D Eisenhower, Republican, 63
Providence, Dwight D Eisenhower, Republican, 55.8
Washington, Dwight D Eisenhower, Republican, 65.7
