Belknap, Richard M Nixon, Republican, 61.42
Carroll, Richard M Nixon, Republican, 72.93
Cheshire, Richard M Nixon, Republican, 52.64
Coös, Hubert H Humphrey, Democrat, 53.31
Grafton, Richard M Nixon, Republican, 59.76
Hillsborough, Hubert H Humphrey, Democrat, 49.28
Merrimack, Richard M Nixon, Republican, 57.94
Rockingham, Richard M Nixon, Republican, 54.98
Strafford, Hubert H Humphrey, Democrat, 49.95
Sullivan, Richard M Nixon, Republican, 49.43
