Hawaii, Hubert H Humphrey, Democrat, 61.5
Honolulu, Hubert H Humphrey, Democrat, 59.4
Kauai, Hubert H Humphrey, Democrat, 62.1
Maui, Hubert H Humphrey, Democrat, 60.8
