Providence, Hubert H Humphrey, Democrat, 67.6
Bristol, Hubert H Humphrey, Democrat, 59.4
Kent, Hubert H Humphrey, Democrat, 58.7
Newport, Hubert H Humphrey, Democrat, 58.4
Washington, Hubert H Humphrey, Democrat, 51.6
