Fairfield, Richard M Nixon, Republican, 51.8
Hartford, Hubert H Humphrey, Democrat, 56.2
Litchfield, Richard M Nixon, Republican, 48.9
Middlesex, Hubert H Humphrey, Democrat, 49
New Haven, Hubert H Humphrey, Democrat, 50.8
New London, Hubert H Humphrey, Democrat, 49.7
Tolland, Hubert H Humphrey, Democrat, 49.2
Windham, Hubert H Humphrey, Democrat, 55.1
