Fairfield, Hillary Clinton, Democrat, 57.89
Hartford, Hillary Clinton, Democrat, 59.09
Litchfield, Donald Trump, Republican, 54.44
Middlesex, Hillary Clinton, Democrat, 51.18
New Haven, Hillary Clinton, Democrat, 54.25
New London, Hillary Clinton, Democrat, 50.42
Tolland, Hillary Clinton, Democrat, 49.73
Windham, Donald Trump, Republican, 50.66
Statewide Writein, Hillary Clinton, Democrat, 75.69
Statewide Writein, Donald Trump, Republican, 16.26
Statewide Writein, Other, Other, 100
