Belknap, Donald Trump, Republican, 55.11
Carroll, Donald Trump, Republican, 49.42
Cheshire, Hillary Clinton, Democrat, 52.66
Coös, Donald Trump, Republican, 50.89
Grafton, Hillary Clinton, Democrat, 55.69
Hillsborough, Donald Trump, Republican, 46.7
Merrimack, Hillary Clinton, Democrat, 48.06
Rockingham, Donald Trump, Republican, 49.85
Strafford, Hillary Clinton, Democrat, 50.57
Sullivan, Donald Trump, Republican, 47.6
