Aleutians East, Donald Trump, Republican, 56.1
Aleutians West, Hillary Clinton, Democrat, 56.8
Anchorage, Donald Trump, Republican, 46.9
Bethel, Hillary Clinton, Democrat, 55.0
Bristol Bay, Donald Trump, Republican, 59.4
Chugach, Donald Trump, Republican, 52.6
Copper River, Donald Trump, Republican, 67.8
Denali, Donald Trump, Republican, 52.7
Dillingham, Hillary Clinton, Democrat, 52.0
Fairbanks North Star, Donald Trump, Republican, 53.9
Haines, Hillary Clinton, Democrat, 44.7
Hoonah-Angoon, Hillary Clinton, Democrat, 53.0
Juneau, Hillary Clinton, Democrat, 53.1
Kenai Peninsula, Donald Trump, Republican, 63.4
Ketchikan Gateway, Donald Trump, Republican, 55.1
Kodiak Island, Donald Trump, Republican, 52.8
Kusilvak, Hillary Clinton, Democrat, 59.4
Lake and Peninsula, Hillary Clinton, Democrat, 39.2
Matanuska-Susitna, Donald Trump, Republican, 70.6
Nome, Hillary Clinton, Democrat, 51.2
North Slope, Hillary Clinton, Democrat, 46.9
Northwest Arctic, Hillary Clinton, Democrat, 53.4
Petersburg, Donald Trump, Republican, 53.7
Prince of Wales-Hyder, Donald Trump, Republican, 46.0
Sitka, Hillary Clinton, Democrat, 47.7
Skagway, Hillary Clinton, Democrat, 53.5
Southeast Fairbanks, Donald Trump, Republican, 71.2
Wrangell, Donald Trump, Republican, 66.9
Yakutat, Hillary Clinton, Democrat, 47.1
Yukon-Koyukuk, Hillary Clinton, Democrat, 57.2
