Hawaii, Hillary Clinton, Democrat, 63.61
Honolulu, Hillary Clinton, Democrat, 61.48
Kauai, Hillary Clinton, Democrat, 62.49
Maui, Hillary Clinton, Democrat, 64.45
Kalawao, Hillary Clinton, 70
