Fairfield, Gerald Ford, Republican, 58.1
Hartford, Jimmy Carter, Democrat, 51.9
Litchfield, Gerald Ford, Republican, 55.3
Middlesex, Gerald Ford, Republican, 51.4
New Haven, Gerald Ford, Republican, 52.2
New London, Gerald Ford, Republican, 50.4
Tolland, Gerald Ford, Republican, 50.4
Windham, Jimmy Carter, Democrat, 53.3
