Kleberg, Jimmy Carter, Democrat, 60.15
Knox, Jimmy Carter, Democrat, 72.72
Lamar, Jimmy Carter, Democrat, 65.78
Lamb, Jimmy Carter, Democrat, 58.02
Lampasas, Jimmy Carter, Democrat, 59.67
La Salle, Jimmy Carter, Democrat, 65.25
Lavaca, Jimmy Carter, Democrat, 57.98
Lee, Jimmy Carter, Democrat, 58.64
Leon, Jimmy Carter, Democrat, 63.94
Liberty, Jimmy Carter, Democrat, 60.54
Limestone, Jimmy Carter, Democrat, 64.83
Lipscomb, Gerald Ford, Republican, 58.06
Live Oak, Jimmy Carter, Democrat, 55.93
Llano, Jimmy Carter, Democrat, 54.6
Loving, Gerald Ford, Republican, 54.65
Lubbock, Gerald Ford, Republican, 60.4
Lynn, Jimmy Carter, Democrat, 57.13
McCulloch, Jimmy Carter, Democrat, 58.87
McLennan, Jimmy Carter, Democrat, 53.76
McMullen, Gerald Ford, Republican, 52.8
Madison, Jimmy Carter, Democrat, 63.66
Marion, Jimmy Carter, Democrat, 58.73
Martin, Jimmy Carter, Democrat, 56.06
Mason, Jimmy Carter, Democrat, 49.63
Matagorda, Jimmy Carter, Democrat, 56.94
Maverick, Jimmy Carter, Democrat, 74.7
Medina, Jimmy Carter, Democrat, 52.68
Menard, Jimmy Carter, Democrat, 54.3
Midland, Gerald Ford, Republican, 70.52
Milam, Jimmy Carter, Democrat, 66.59
Mills, Jimmy Carter, Democrat, 59.18
Mitchell, Jimmy Carter, Democrat, 61.7
Montague, Jimmy Carter, Democrat, 64.93
Montgomery, Gerald Ford, Republican, 53.07
Moore, Jimmy Carter, Democrat, 49.63
Morris, Jimmy Carter, Democrat, 62.28
Motley, Jimmy Carter, Democrat, 54.32
Nacogdoches, Gerald Ford, Republican, 51.73
Navarro, Jimmy Carter, Democrat, 63.2
Newton, Jimmy Carter, Democrat, 77.03
Nolan, Jimmy Carter, Democrat, 55.8
Nueces, Jimmy Carter, Democrat, 61.11
Ochiltree, Gerald Ford, Republican, 68.89
Oldham, Jimmy Carter, Democrat, 60.81
Orange, Jimmy Carter, Democrat, 61.99
Palo Pinto, Jimmy Carter, Democrat, 65.4
Panola, Jimmy Carter, Democrat, 53.48
Parker, Jimmy Carter, Democrat, 63.12
Parmer, Jimmy Carter, Democrat, 56.01
Pecos, Gerald Ford, Republican, 52.78
Polk, Jimmy Carter, Democrat, 62.93
Potter, Gerald Ford, Republican, 53.08
Presidio, Jimmy Carter, Democrat, 63.64
Rains, Jimmy Carter, Democrat, 72.18
Randall, Gerald Ford, Republican, 64.53
Reagan, Gerald Ford, Republican, 53.97
Real, Jimmy Carter, Democrat, 52.63
Red River, Jimmy Carter, Democrat, 66.33
Reeves, Jimmy Carter, Democrat, 60.18
Refugio, Jimmy Carter, Democrat, 58.91
Roberts, Gerald Ford, Republican, 62.28
Robertson, Jimmy Carter, Democrat, 74.88
Rockwall, Gerald Ford, Republican, 53.02
Runnels, Gerald Ford, Republican, 51.45
Rusk, Gerald Ford, Republican, 52.65
Sabine, Jimmy Carter, Democrat, 72.54
San Augustine, Jimmy Carter, Democrat, 63.31
San Jacinto, Jimmy Carter, Democrat, 68.18
San Patricio, Jimmy Carter, Democrat, 61.51
San Saba, Jimmy Carter, Democrat, 70.22
Schleicher, Gerald Ford, Republican, 51.96
Scurry, Gerald Ford, Republican, 51.24
Shackelford, Jimmy Carter, Democrat, 50.33
Shelby, Jimmy Carter, Democrat, 63.35
Sherman, Jimmy Carter, Democrat, 50.71
Smith, Gerald Ford, Republican, 56.62
Somervell, Jimmy Carter, Democrat, 75.77
Starr, Jimmy Carter, Democrat, 87.25
Stephens, Jimmy Carter, Democrat, 52.38
Sterling, Gerald Ford, Republican, 53.02
Stonewall, Jimmy Carter, Democrat, 75.89
Sutton, Gerald Ford, Republican, 51.65
Swisher, Jimmy Carter, Democrat, 78.59
Tarrant, Gerald Ford, Republican, 50.05
Taylor, Gerald Ford, Republican, 57.38
Terrell, Jimmy Carter, Democrat, 50
Terry, Jimmy Carter, Democrat, 57.17
Throckmorton, Jimmy Carter, Democrat, 64.76
Titus, Jimmy Carter, Democrat, 61.64
Tom Green, Gerald Ford, Republican, 52.29
Travis, Jimmy Carter, Democrat, 51.63
Trinity, Jimmy Carter, Democrat, 66.58
Tyler, Jimmy Carter, Democrat, 62.47
Upshur, Jimmy Carter, Democrat, 59.7
Upton, Gerald Ford, Republican, 55.67
