Belknap, Gerald Ford, Republican, 60.78
Carroll, Gerald Ford, Republican, 70.18
Cheshire, Gerald Ford, Republican, 53.87
Coös, Jimmy Carter, Democrat, 50.45
Grafton, Gerald Ford, Republican, 60.34
Hillsborough, Gerald Ford, Republican, 53.11
Merrimack, Gerald Ford, Republican, 58.62
Rockingham, Gerald Ford, Republican, 53.92
Strafford, Gerald Ford, Republican, 49.61
Sullivan, Gerald Ford, Republican, 50.57
