Belknap, John E Sununu, Republican, 49
Carroll, John E Sununu, Republican, 49.2
Cheshire, Jeanne Shaheen, Democrat, 59.7
Coös, Jeanne Shaheen, Democrat, 56.6
Grafton, Jeanne Shaheen, Democrat, 57.5
Hillsborough, Jeanne Shaheen, Democrat, 48.8
Merrimack, Jeanne Shaheen, Democrat, 54.1
Rockingham, John E Sununu, Republican, 48.8
Strafford, Jeanne Shaheen, Democrat, 57.9
Sullivan, Jeanne Shaheen, Democrat, 54.1
