Bristol, Jack Reed, Democrat, 72.2
Kent, Jack Reed, Democrat, 69.6
Newport, Jack Reed, Democrat, 71.4
Providence, Jack Reed, Democrat, 75.6
Washington, Jack Reed, Democrat, 69.3
