Fairfield, Joe Lieberman, Democrat, 61.2
Hartford, Joe Lieberman, Democrat, 69.7
Litchfield, Joe Lieberman, Democrat, 61.2
Middlesex, Joe Lieberman, Democrat, 69.8
New Haven, Joe Lieberman, Democrat, 66.5
New London, Joe Lieberman, Democrat, 77.3
Tolland, Joe Lieberman, Democrat, 69.3
Windham, Joe Lieberman, Democrat, 70.2
