Albany, Mike Sullivan, Democrat, 49
Big Horn, Craig L Thomas, Republican, 68.7
Campbell, Craig L Thomas, Republican, 68.8
Carbon, Craig L Thomas, Republican, 54.1
Converse, Craig L Thomas, Republican, 61.4
Crook, Craig L Thomas, Republican, 74.8
Fremont, Craig L Thomas, Republican, 61.3
Goshen, Craig L Thomas, Republican, 65.6
Hot Springs, Craig L Thomas, Republican, 65.1
Johnson, Craig L Thomas, Republican, 69.9
Laramie, Craig L Thomas, Republican, 55.7
Lincoln, Craig L Thomas, Republican, 65.8
Natrona, Craig L Thomas, Republican, 51.9
Niobrara, Craig L Thomas, Republican, 72
Park, Craig L Thomas, Republican, 68
Platte, Craig L Thomas, Republican, 59
Sheridan, Craig L Thomas, Republican, 59.3
Sublette, Craig L Thomas, Republican, 72.7
Sweetwater, Craig L Thomas, Republican, 50.9
Teton, Craig L Thomas, Republican, 51.6
Uinta, Craig L Thomas, Republican, 60.8
Washakie, Craig L Thomas, Republican, 65.7
Weston, Craig L Thomas, Republican, 71.9
