Bristol, Bruce Sundlun, Democrat, 61.2
Kent, Bruce Sundlun, Democrat, 60.8
Newport, Bruce Sundlun, Democrat, 64
Providence, Bruce Sundlun, Democrat, 61.2
Washington, Bruce Sundlun, Democrat, 63
