Belknap, Steve Merrill, Republican, 60.1
Carroll, Steve Merrill, Republican, 61.4
Cheshire, Deborah Arnie Arnesen, Democrat, 51
Coös, Steve Merrill, Republican, 55.5
Grafton, Steve Merrill, Republican, 51.6
Hillsborough, Steve Merrill, Republican, 60.5
Merrimack, Steve Merrill, Republican, 51.4
Rockingham, Steve Merrill, Republican, 57.8
Strafford, Steve Merrill, Republican, 51.7
Sullivan, Deborah Arnie Arnesen, Democrat, 49.7
