Bristol, John Kerry, Democrat, 58.55
Kent, John Kerry, Democrat, 55.02
Newport, John Kerry, Democrat, 57
Providence, John Kerry, Democrat, 62.7
Washington, John Kerry, Democrat, 55.5
Federal Precinct, John Kerry, Democrat, NaN, George W. Bush, Republican, NaN, George W. Bush, Republican, NaN
Federal Precinct, George W. Bush, Republican, NaN, Other, Other, NaN, Other, Other, NaN
Federal Precinct, John Mccain, Republican, 73.61
