Belknap, George W. Bush, Republican, 55.48
Carroll, George W. Bush, Republican, 51.78
Cheshire, John Kerry, Democrat, 59.12
Coös, John Kerry, Democrat, 50.74
Grafton, John Kerry, Democrat, 55.75
Hillsborough, George W. Bush, Republican, 51.03
Merrimack, John Kerry, Democrat, 52.15
Rockingham, George W. Bush, Republican, 51.69
Strafford, John Kerry, Democrat, 55.57
Sullivan, John Kerry, Democrat, 52.46
