Fairfield, Franklin D Roosevelt, Democrat, 59.1
Hartford, Franklin D Roosevelt, Democrat, 59.1
Litchfield, Alf Landon, Republican, 50.9
Middlesex, Franklin D Roosevelt, Democrat, 52.4
New Haven, Franklin D Roosevelt, Democrat, 57.9
New London, Franklin D Roosevelt, Democrat, 52.8
Tolland, Franklin D Roosevelt, Democrat, 51.2
Windham, Franklin D Roosevelt, Democrat, 50.9
